[    0.323374] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=0 freq=300000 volt=568000, core_count 4
[    0.323496] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=1 freq=403200 volt=568000, core_count 4
[    0.323581] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=2 freq=518400 volt=568000, core_count 4
[    0.323663] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=3 freq=614400 volt=568000, core_count 4
[    0.323741] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=4 freq=691200 volt=568000, core_count 4
[    0.323832] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=5 freq=787200 volt=584000, core_count 4
[    0.323912] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=6 freq=883200 volt=588000, core_count 4
[    0.323993] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=7 freq=979200 volt=600000, core_count 4
[    0.324089] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=8 freq=1075200 volt=612000, core_count 4
[    0.324180] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=9 freq=1171200 volt=620000, core_count 4
[    0.324265] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=10 freq=1248000 volt=636000, core_count 4
[    0.324346] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=11 freq=1344000 volt=652000, core_count 4
[    0.324427] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=12 freq=1420800 volt=668000, core_count 4
[    0.324518] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=13 freq=1516800 volt=688000, core_count 4
[    0.324598] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=14 freq=1612800 volt=716000, core_count 4
[    0.324680] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=15 freq=1708800 volt=744000, core_count 4
[    0.324763] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=16 freq=1804800 volt=776000, core_count 4
[    0.324841] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=17 freq=1804800 volt=776000, core_count 4
[    0.324876] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=0 freq=710400 volt=588000, core_count 4
[    0.324951] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=1 freq=825600 volt=608000, core_count 4
[    0.325016] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=2 freq=940800 volt=628000, core_count 4
[    0.325079] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=3 freq=1056000 volt=644000, core_count 4
[    0.325143] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=4 freq=1171200 volt=664000, core_count 4
[    0.325206] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=5 freq=1286400 volt=680000, core_count 4
[    0.325268] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=6 freq=1382400 volt=696000, core_count 4
[    0.325330] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=7 freq=1478400 volt=716000, core_count 4
[    0.325397] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=8 freq=1574400 volt=732000, core_count 4
[    0.325460] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=9 freq=1670400 volt=752000, core_count 4
[    0.325526] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=10 freq=1766400 volt=772000, core_count 4
[    0.325593] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=11 freq=1862400 volt=800000, core_count 4
[    0.325656] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=12 freq=1958400 volt=812000, core_count 4
[    0.325720] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=13 freq=2054400 volt=836000, core_count 4
[    0.325775] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=14 freq=2150400 volt=852000, core_count 4
[    0.325838] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=15 freq=2246400 volt=876000, core_count 4
[    0.325903] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=16 freq=2342400 volt=892000, core_count 4
[    0.325968] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=17 freq=2419200 volt=912000, core_count 4
[    0.326034] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=18 freq=2419200 volt=912000, core_count 4
[    0.326065] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=0 freq=844800 volt=576000, core_count 4
[    0.326099] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=1 freq=960000 volt=592000, core_count 4
[    0.326122] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=2 freq=1075200 volt=608000, core_count 4
[    0.326144] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=3 freq=1190400 volt=620000, core_count 4
[    0.326167] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=4 freq=1305600 volt=632000, core_count 4
[    0.326197] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=5 freq=1401600 volt=644000, core_count 4
[    0.326220] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=6 freq=1516800 volt=660000, core_count 4
[    0.326242] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=7 freq=1632000 volt=676000, core_count 4
[    0.326273] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=8 freq=1747200 volt=696000, core_count 4
[    0.326295] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=9 freq=1862400 volt=712000, core_count 4
[    0.326317] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=10 freq=1977600 volt=732000, core_count 4
[    0.326347] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=11 freq=2073600 volt=748000, core_count 4
[    0.326369] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=12 freq=2169600 volt=800000, core_count 4
[    0.326393] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=13 freq=2265600 volt=800000, core_count 4
[    0.326424] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=14 freq=2361600 volt=808000, core_count 4
[    0.326445] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=15 freq=2457600 volt=824000, core_count 4
[    0.326468] qcom-cpufreq-hw 18591000.qcom,cpufreq-hw: index=16 freq=2553600 volt=844000, core_count 4
