CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.809004,3.71269668,34.44675655842142,7.732280053310317,32.33198982400681,224.470482154
1,403200,1496.961169,3.712701312003968,65.79400119057215,10.988620486080466,22.750808467421425,167.015537697
1,518400,1924.912994,3.7131809297839506,48.25160616503089,6.267086604835597,39.89094387288401,129.883481669
1,614400,2280.980274,3.7125329980468753,77.36795476179803,8.48029239921724,29.48011557043432,109.609882093
1,691200,2566.208171,3.7126854325810186,48.24584016220606,4.700385378823811,53.187128256823506,97.425713036
1,787200,2922.575139,3.712620857469512,53.5410696256352,4.580286913768723,54.58173356967644,85.547168665
1,883200,3278.94654,3.7125753396739127,56.40632948485519,4.300965458774146,58.12648401767323,76.2496957
1,979200,3635.781911,3.7130125725081697,62.42443130673528,4.292577652190351,58.24006465495943,68.764385391
1,1075200,3991.69727,3.712516062127976,66.71676151475803,4.178727138162757,59.82683045199176,62.63384258
1,1171200,4348.431086,3.712799766051912,71.23704384382452,4.095893063531284,61.03674976916071,57.496673676
1,1248000,4633.319124,3.7125954519230766,74.66737709445268,4.029050328707923,62.04936141370379,53.959982063
1,1344000,4989.920361,3.712738363839286,75.8566227644399,3.8008145722227846,65.77537400194599,50.105243731
1,1420800,5275.485872,3.713039042792793,84.18447390914889,3.9896388370754963,62.66231361013524,47.391622847
1,1516800,5631.772206,3.7129299881329114,87.58050145427262,3.8879709748683253,64.30089154882819,44.393111598
1,1612800,5987.737114,3.7126346192956348,93.05658359236574,3.885542062038043,64.34108703712504,41.754617589
1,1708800,6345.177665,3.7132359930945693,99.37585847728194,3.9157382483175778,63.84492122460282,39.403314933
1,1804800,6700.616457,3.7126642603058513,109.49029085224315,4.08544885263087,61.19278664791256,37.313343684
4,710400,6027.872884,8.48518142454955,123.15614529346337,5.109290286846932,48.930474873112196,41.486279671
4,825600,6996.725532,8.474716002906977,143.9072324439428,5.14373093702044,48.60285327148452,35.743380299
4,940800,7964.573577,8.465745723852041,165.30809901316115,5.190951878172929,48.16072386477084,31.401679102
4,1056000,8960.573477,8.485391550189394,187.3413959288888,5.229167102223823,47.80876095806573,27.912502073
4,1171200,9942.729876,8.48935269467213,206.31439668771995,5.190140574944511,48.16825216775035,25.156463428
4,1286400,10916.077198,8.48575652829602,233.7112454517726,5.355158079619832,46.68396269223629,22.913566137
4,1382400,11722.779706,8.480020041956017,251.33344649138098,5.36298101367833,46.61586519929361,21.338111137
4,1478400,12555.24307,8.492453375270562,280.5515852577893,5.589545265298877,44.72635753610492,19.923413586
4,1574400,13358.98258,8.48512613058943,302.7534770104444,5.6695762006483195,44.09500660232988,18.726708795
4,1670400,14167.516718,8.481511445162836,332.12771758311754,5.864803815359072,42.62717183229321,17.658278743
4,1766400,14968.267273,8.473883193500905,364.9139628738749,6.099292850669749,40.98835817869412,16.714331243
4,1862400,15781.831955,8.47392179714347,419.67088115566645,6.652967700744163,37.57721534887903,15.852821817
